,סמל ועדה,מצביעים,פסולים,מחוז,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,מרחב משטרה,אשכול רשויות מקומיות,label
55,12,1026,4,4,432.0,40.0,133.0,1.0,1872.0,1865.0,1.0,1950.0,310,2.0,1879365441.0,40.0,10002261.0,0.0,False
585,12,998,1,4,432.0,40.0,133.0,1.0,1872.0,1865.0,1.0,1950.0,310,2.0,1879365441.0,40.0,10002261.0,0.0,False
56,18,514,3,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1940057520.0,0.0,10001937.0,0.0,False
677,18,474,4,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1940057520.0,0.0,10001937.0,0.0,False
57,17,35,0,6,614.0,37.0,0.0,1.0,277.0,40.0,0.0,1991.0,340,0.0,1629760477.0,69.0,10001829.0,620.0,False
229,17,24,0,6,614.0,37.0,0.0,1.0,277.0,40.0,0.0,1991.0,340,0.0,1629760477.0,69.0,10001829.0,620.0,False
58,19,308,1,4,421.0,20.0,141.0,1.0,522.0,515.0,0.0,1949.0,330,15.0,1982567982.0,67.0,10002155.0,0.0,False
513,19,307,2,4,421.0,20.0,141.0,1.0,522.0,515.0,0.0,1949.0,330,15.0,1982567982.0,67.0,10002155.0,0.0,False
59,3,587,2,2,211.0,1.0,0.0,1.0,1134.0,1082.0,0.0,1918.0,330,15.0,2541976987.0,143.0,10004540.0,211.0,False
47,3,567,1,2,211.0,1.0,0.0,1.0,1134.0,1082.0,0.0,1918.0,330,15.0,2541976987.0,143.0,10004540.0,211.0,False
60,6,621,2,2,244.0,4.0,0.0,1.0,1020.0,987.0,6.0,1938.0,330,15.0,2206177423.0,217.0,10004302.0,212.0,False
193,6,611,0,2,244.0,4.0,0.0,1.0,1020.0,987.0,6.0,1938.0,330,15.0,2206177423.0,217.0,10004302.0,212.0,False
61,18,164,0,6,625.0,53.0,0.0,1.0,317.0,294.0,5.0,1962.0,330,15.0,1960538819.0,41.0,10001955.0,0.0,False
746,18,164,0,6,625.0,53.0,0.0,1.0,317.0,294.0,5.0,1962.0,330,15.0,1960538819.0,41.0,10001955.0,0.0,False
62,4,305,0,2,222.0,3.0,0.0,1.0,490.0,463.0,6.0,1902.0,310,10.0,2384773998.0,199.0,10004552.0,214.0,False
28,4,310,0,2,222.0,3.0,0.0,1.0,490.0,463.0,6.0,1902.0,310,10.0,2384773998.0,199.0,10004552.0,214.0,False
63,18,22754,118,6,625.0,0.0,0.0,1.0,51935.0,41906.0,2260.0,1951.0,150,0.0,1941738510.0,-5.0,10001955.0,0.0,True
999,18,22840,125,6,625.0,0.0,0.0,1.0,51935.0,41906.0,2260.0,1951.0,150,0.0,1941738510.0,-5.0,10001955.0,0.0,True
64,13,309,0,4,442.0,27.0,143.0,1.0,622.0,615.0,0.0,2013.0,370,0.0,1790064853.0,29.0,15002488.0,0.0,False
911,13,324,0,4,442.0,27.0,143.0,1.0,622.0,615.0,0.0,2013.0,370,0.0,1790064853.0,29.0,15002488.0,0.0,False
65,19,442,0,7,0.0,72.0,0.0,1.0,1238.0,1236.0,1.0,1984.0,370,11.0,2292167559.0,561.0,10003262.0,0.0,False
1108,19,437,2,7,0.0,72.0,0.0,1.0,1238.0,1236.0,1.0,1984.0,370,11.0,2292167559.0,561.0,10003262.0,0.0,False
66,17,274,1,6,612.0,34.0,0.0,1.0,456.0,454.0,0.0,1955.0,310,2.0,1761460898.0,150.0,10001813.0,0.0,False
20,17,281,0,6,612.0,34.0,0.0,1.0,456.0,454.0,0.0,1955.0,310,2.0,1761460898.0,150.0,10001813.0,0.0,False
67,5,6553,41,2,237.0,99.0,0.0,2.0,14500.0,1.0,14494.0,1949.0,270,0.0,2307173191.0,90.0,10004394.0,213.0,True
340,5,5778,41,2,237.0,99.0,0.0,2.0,14500.0,1.0,14494.0,1949.0,270,0.0,2307173191.0,90.0,10004394.0,213.0,True
68,18,889,10,6,623.0,69.0,342.0,2.0,5663.0,11.0,5652.0,1949.0,280,0.0,1917857711.0,350.0,10001937.0,610.0,False
924,18,711,16,6,623.0,69.0,342.0,2.0,5663.0,11.0,5652.0,1949.0,280,0.0,1917857711.0,350.0,10001937.0,610.0,False
69,9,104,1,3,323.0,14.0,0.0,2.0,191.0,0.0,191.0,1949.0,450,0.0,2120271154.0,344.0,10004233.0,0.0,False
896,9,91,1,3,323.0,14.0,0.0,2.0,191.0,0.0,191.0,1949.0,450,0.0,2120271154.0,344.0,10004233.0,0.0,False
70,3,252,2,2,292.0,71.0,0.0,1.0,392.0,375.0,0.0,1971.0,330,15.0,2723178736.0,1039.0,10004579.0,211.0,False
1139,3,243,2,2,292.0,71.0,0.0,1.0,392.0,375.0,0.0,1971.0,330,15.0,2723178736.0,1039.0,10004579.0,211.0,False
71,17,280,0,6,611.0,34.0,0.0,1.0,514.0,514.0,0.0,1965.0,350,0.0,1757561777.0,80.0,10001813.0,0.0,False
761,17,278,1,6,611.0,34.0,0.0,1.0,514.0,514.0,0.0,1965.0,350,0.0,1757561777.0,80.0,10001813.0,0.0,False
